,Bagging,Feature_Prop,Gain Metric,Min Data Size,Min Info,Num Trees,Train Time,VM1 Test,VM2 Test,VM3 Test
0,1.0,0.2,missclassification,40.0,0.05,50.0,0.5038762092590332,0.7335907335907336,0.7335907335907336,0.7335907335907336
1,1.0,0.4,missclassification,40.0,0.05,50.0,0.9103176593780518,0.7335907335907336,0.7335907335907336,0.7335907335907336
2,1.0,0.6,missclassification,40.0,0.05,50.0,1.3108534812927246,0.7335907335907336,0.7335907335907336,0.7335907335907336
3,1.0,0.8,missclassification,40.0,0.05,50.0,1.704526424407959,0.7335907335907336,0.7335907335907336,0.7335907335907336
4,1.0,-1.0,missclassification,40.0,0.05,50.0,2.4619574546813965,0.7335907335907336,0.7335907335907336,0.7335907335907336
5,1.0,0.2,missclassification,40.0,0.05,50.0,0.5003025531768799,0.7335907335907336,0.7335907335907336,0.7335907335907336
6,0.0,0.2,missclassification,40.0,0.05,50.0,0.5475716590881348,0.7335907335907336,0.7335907335907336,0.7335907335907336
7,1.0,0.2,missclassification,40.0,0.05,50.0,0.5102908611297607,0.7335907335907336,0.7335907335907336,0.7335907335907336
8,1.0,0.2,entropy,40.0,0.05,50.0,6.5541017055511475,0.7335907335907336,0.7335907335907336,0.7335907335907336
9,1.0,0.2,gini,40.0,0.05,50.0,5.825255632400513,0.7335907335907336,0.7335907335907336,0.7335907335907336
10,1.0,0.2,missclassification,40.0,0.05,50.0,0.500516414642334,0.7335907335907336,0.7335907335907336,0.7335907335907336
11,1.0,0.2,missclassification,20.0,0.05,50.0,0.6204283237457275,0.7335907335907336,0.7335907335907336,0.7335907335907336
12,1.0,0.2,missclassification,10.0,0.05,50.0,0.5793747901916504,0.7335907335907336,0.7335907335907336,0.7335907335907336
13,1.0,0.2,missclassification,2.0,0.05,50.0,0.5205399990081787,0.7335907335907336,0.7335907335907336,0.7335907335907336
14,1.0,0.2,missclassification,40.0,0.05,50.0,0.5268044471740723,0.7335907335907336,0.7335907335907336,0.7335907335907336
15,1.0,0.2,missclassification,40.0,0.05,50.0,0.5635051727294922,0.7335907335907336,0.7335907335907336,0.7335907335907336
16,1.0,0.2,missclassification,40.0,0.05,100.0,1.0060756206512451,0.7335907335907336,0.7335907335907336,0.7335907335907336
17,1.0,0.2,missclassification,40.0,0.05,150.0,1.560899257659912,0.7335907335907336,0.7335907335907336,0.7335907335907336
