,Bagging,Feature_Prop,Gain Metric,Min Data Size,Min Info,Num Trees,VM1 Test,VM2 Test,VM3 Test
0,1.0,0.6,entropy,20.0,0.05,50.0,0.8888888888888888,0.8666666666666667,0.9111111111111111
1,1.0,-1.0,entropy,20.0,0.05,50.0,0.9555555555555556,0.9555555555555556,0.9555555555555556
2,1.0,-1.0,entropy,20.0,0.05,50.0,0.9555555555555556,0.9555555555555556,0.9555555555555556
3,0.0,-1.0,entropy,20.0,0.05,50.0,0.8888888888888888,0.8888888888888888,0.8888888888888888
4,1.0,-1.0,entropy,20.0,0.05,50.0,0.9555555555555556,0.9555555555555556,0.9555555555555556
5,1.0,-1.0,gini,20.0,0.05,50.0,0.9333333333333333,0.9333333333333333,0.9333333333333333
6,1.0,-1.0,missclassification,20.0,0.05,50.0,0.9777777777777777,0.9777777777777777,0.9777777777777777
7,1.0,-1.0,missclassification,20.0,0.05,50.0,0.9777777777777777,0.9777777777777777,0.9777777777777777
8,1.0,-1.0,missclassification,10.0,0.05,50.0,0.9777777777777777,0.9555555555555556,0.9777777777777777
9,1.0,-1.0,missclassification,2.0,0.05,50.0,0.9777777777777777,0.9777777777777777,0.9777777777777777
10,1.0,-1.0,missclassification,20.0,0.05,50.0,0.9777777777777777,0.9777777777777777,0.9777777777777777
11,1.0,-1.0,missclassification,20.0,0.05,50.0,0.9777777777777777,0.9777777777777777,0.9777777777777777
12,1.0,-1.0,missclassification,20.0,0.05,100.0,0.9777777777777777,0.9777777777777777,0.9777777777777777
13,1.0,-1.0,missclassification,20.0,0.05,150.0,0.9777777777777777,0.9777777777777777,0.9777777777777777
