,Bagging,Feature_Prop,Gain Metric,Min Data Size,Min Info,Num Trees,Train Time,VM1 Test,VM2 Test,VM3 Test
0,1.0,0.6,missclassification,40.0,0.05,50.0,1.5068879127502441,0.6333333333333333,0.62,0.30666666666666664
1,1.0,-1.0,missclassification,40.0,0.05,50.0,5.222381591796875,0.7866666666666666,0.8133333333333334,0.23333333333333334
2,1.0,-1.0,missclassification,40.0,0.05,50.0,5.66257643699646,0.84,0.7866666666666666,0.18666666666666668
3,0.0,-1.0,missclassification,40.0,0.05,50.0,5.557750463485718,0.8533333333333334,0.8533333333333334,0.14666666666666667
4,0.0,-1.0,missclassification,40.0,0.05,50.0,5.581178665161133,0.8533333333333334,0.8533333333333334,0.14666666666666667
5,0.0,-1.0,entropy,40.0,0.05,50.0,15.375963926315308,0.7066666666666667,0.7066666666666667,0.7066666666666667
6,0.0,-1.0,gini,40.0,0.05,50.0,16.083401441574097,0.7466666666666667,0.7466666666666667,0.7466666666666667
7,0.0,-1.0,gini,40.0,0.05,50.0,15.603561401367188,0.7466666666666667,0.7466666666666667,0.7466666666666667
8,0.0,-1.0,gini,20.0,0.05,50.0,16.9522442817688,0.7466666666666667,0.7466666666666667,0.7466666666666667
9,0.0,-1.0,gini,10.0,0.05,50.0,27.32347583770752,0.7466666666666667,0.7466666666666667,0.7466666666666667
10,0.0,-1.0,gini,2.0,0.05,50.0,16.359050989151,0.7466666666666667,0.7466666666666667,0.7466666666666667
11,0.0,-1.0,gini,40.0,0.05,50.0,15.08135199546814,0.7466666666666667,0.7466666666666667,0.7466666666666667
12,0.0,-1.0,gini,40.0,0.05,50.0,15.271286249160767,0.7466666666666667,0.7466666666666667,0.7466666666666667
13,0.0,-1.0,gini,40.0,0.05,100.0,31.68355894088745,0.7466666666666667,0.7466666666666667,0.7466666666666667
14,0.0,-1.0,gini,40.0,0.05,150.0,46.96206521987915,0.7466666666666667,0.7466666666666667,0.7466666666666667
